Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 7, 33, 1.0, 17,
SUSTAIN, generalization, 7, 64, 2, 17,
SUSTAIN, generalization, 7, 51, 2, 17,
SUSTAIN, generalization, 7, 56, 2, 17,
SUSTAIN, generalization, 7, 21, 2.0, 18,
SUSTAIN, generalization, 7, 38, 1.0, 19,
SUSTAIN, generalization, 7, 5, 2, 19,
SUSTAIN, generalization, 7, 60, 1, 19,
SUSTAIN, generalization, 7, 17, 2.0, 20,
SUSTAIN, generalization, 7, 49, 2, 20,
SUSTAIN, generalization, 7, 63, 2, 20,
SUSTAIN, generalization, 7, 14, 2, 20,
SUSTAIN, generalization, 7, 48, 1.0, 21,
SUSTAIN, generalization, 7, 37, 1, 21,
SUSTAIN, generalization, 7, 20, 2, 21,
SUSTAIN, generalization, 7, 58, 2, 21,
SUSTAIN, generalization, 7, 34, 1, 21,
SUSTAIN, generalization, 7, 47, 1, 21,
SUSTAIN, generalization, 7, 41, 2.0, 22,
SUSTAIN, generalization, 7, 29, 2, 22,
SUSTAIN, generalization, 8, 15, 2.0, 3,
SUSTAIN, generalization, 8, 51, 1.0, 4,
SUSTAIN, generalization, 8, 25, 2.0, 5,
SUSTAIN, generalization, 8, 3, 1, 5,
SUSTAIN, generalization, 8, 4, 1.0, 6,
SUSTAIN, generalization, 8, 35, 1, 6,
SUSTAIN, generalization, 8, 62, 2, 6,
SUSTAIN, generalization, 8, 46, 1.0, 7,
SUSTAIN, generalization, 8, 1, 1, 7,
SUSTAIN, generalization, 8, 6, 1, 7,
SUSTAIN, generalization, 8, 44, 1, 7,
SUSTAIN, generalization, 8, 30, 2.0, 8,
SUSTAIN, generalization, 8, 43, 1, 8,
SUSTAIN, generalization, 8, 22, 2, 8,
SUSTAIN, generalization, 8, 20, 1.0, 9,
SUSTAIN, generalization, 8, 61, 1.0, 10,
SUSTAIN, generalization, 8, 27, 2, 10,
SUSTAIN, generalization, 8, 2, 1, 10,
SUSTAIN, generalization, 8, 10, 1, 10,
SUSTAIN, generalization, 8, 48, 1, 10,
SUSTAIN, generalization, 8, 32, 2, 10,
SUSTAIN, generalization, 8, 42, 1.0, 11,
SUSTAIN, generalization, 8, 55, 2, 11,
SUSTAIN, generalization, 8, 11, 1.0, 12,
SUSTAIN, generalization, 8, 40, 1.0, 13,
SUSTAIN, generalization, 8, 28, 1, 13,
SUSTAIN, generalization, 8, 38, 1, 13,
SUSTAIN, generalization, 8, 23, 2, 13,
SUSTAIN, generalization, 8, 5, 1, 13,
SUSTAIN, generalization, 8, 19, 1, 13,
SUSTAIN, generalization, 8, 33, 2, 13,
SUSTAIN, generalization, 8, 18, 2.0, 14,
SUSTAIN, generalization, 8, 56, 2, 14,
SUSTAIN, generalization, 8, 58, 2.0, 15,
SUSTAIN, generalization, 8, 41, 1, 15,
SUSTAIN, generalization, 8, 59, 2, 15,
SUSTAIN, generalization, 8, 47, 1, 15,
SUSTAIN, generalization, 8, 26, 2, 15,
SUSTAIN, generalization, 8, 49, 1.0, 16,
SUSTAIN, generalization, 8, 53, 1, 16,
SUSTAIN, generalization, 8, 45, 1, 16,
SUSTAIN, generalization, 8, 12, 1, 16,
SUSTAIN, generalization, 8, 16, 2, 16,
SUSTAIN, generalization, 8, 36, 2.0, 17,
SUSTAIN, generalization, 8, 31, 2, 17,
SUSTAIN, generalization, 8, 37, 2, 17,
SUSTAIN, generalization, 8, 7, 1.0, 18,
SUSTAIN, generalization, 8, 64, 2, 18,
SUSTAIN, generalization, 8, 60, 1, 18,
SUSTAIN, generalization, 8, 57, 2, 18,
SUSTAIN, generalization, 8, 52, 1, 18,
SUSTAIN, generalization, 8, 17, 2, 18,
SUSTAIN, generalization, 8, 54, 1.0, 19,
SUSTAIN, generalization, 8, 39, 1, 19,
SUSTAIN, generalization, 8, 13, 2.0, 20,
SUSTAIN, generalization, 8, 50, 1, 20,
SUSTAIN, generalization, 8, 21, 1, 20,
SUSTAIN, generalization, 8, 24, 1.0, 21,
SUSTAIN, generalization, 8, 34, 1.0, 22,
SUSTAIN, generalization, 8, 29, 2, 22,
SUSTAIN, generalization, 8, 9, 1, 22,
SUSTAIN, generalization, 8, 8, 1, 22,
SUSTAIN, generalization, 8, 63, 2, 22,
SUSTAIN, generalization, 8, 14, 2, 22,
SUSTAIN, generalization, 9, 51, 1.0, 3,
SUSTAIN, generalization, 9, 26, 2.0, 4,
SUSTAIN, generalization, 9, 15, 2.0, 5,
SUSTAIN, generalization, 9, 46, 1.0, 6,
SUSTAIN, generalization, 9, 7, 2, 6,
SUSTAIN, generalization, 9, 35, 2, 6,
SUSTAIN, generalization, 9, 53, 1, 6,
SUSTAIN, generalization, 9, 10, 1, 6,
SUSTAIN, generalization, 9, 52, 1, 6,
SUSTAIN, generalization, 9, 25, 2, 6,
SUSTAIN, generalization, 9, 40, 2.0, 7,
SUSTAIN, generalization, 9, 22, 1.0, 8,
SUSTAIN, generalization, 9, 60, 1, 8,
SUSTAIN, generalization, 9, 42, 1.0, 9,
SUSTAIN, generalization, 9, 6, 1.0, 10,
SUSTAIN, generalization, 9, 4, 1, 10,
SUSTAIN, generalization, 9, 13, 2, 10,
SUSTAIN, generalization, 9, 21, 1, 10,
SUSTAIN, generalization, 9, 34, 2, 10,
SUSTAIN, generalization, 9, 41, 1, 10,
SUSTAIN, generalization, 9, 47, 1, 10,
SUSTAIN, generalization, 9, 48, 2, 10,
SUSTAIN, generalization, 9, 30, 1, 10,
SUSTAIN, generalization, 9, 33, 2, 10,
SUSTAIN, generalization, 9, 32, 2, 10,
SUSTAIN, generalization, 9, 18, 2, 10,
SUSTAIN, generalization, 9, 1, 1, 10,
SUSTAIN, generalization, 9, 14, 2, 10,
SUSTAIN, generalization, 9, 64, 2, 10,
